iter	Passed	Remaining
0	146	146440
1	148	73998
2	149	49714
3	151	37599
4	152	30309
5	153	25447
6	154	21959
7	155	19342
8	157	17294
9	158	15710
10	160	14409
11	161	13293
12	162	12342
13	163	11539
14	165	10844
15	166	10228
16	167	9680
17	168	9191
18	169	8763
19	170	8378
20	172	8027
21	173	7715
22	174	7421
23	176	7158
24	177	6911
25	178	6682
26	179	6475
27	180	6275
28	181	6089
29	183	5929
30	184	5773
31	185	5620
32	187	5484
33	188	5354
34	189	5229
35	190	5109
36	191	4993
37	192	4885
38	194	4781
39	195	4682
40	196	4591
41	197	4506
42	198	4421
43	199	4344
44	201	4280
45	202	4208
46	203	4136
47	205	4067
48	206	4002
49	207	3940
50	208	3880
51	210	3830
52	211	3776
53	212	3722
54	213	3670
55	214	3623
56	216	3579
57	217	3531
58	218	3485
59	219	3440
60	220	3397
61	221	3355
62	222	3315
63	224	3281
64	225	3244
65	226	3210
66	228	3178
67	230	3153
68	231	3123
69	232	3092
70	234	3062
71	235	3031
72	236	3002
73	238	2978
74	239	2950
75	240	2922
76	241	2893
77	242	2866
78	243	2840
79	245	2818
80	246	2795
81	247	2770
82	248	2740
83	249	2716
84	250	2694
85	251	2675
86	252	2653
87	253	2631
88	254	2610
89	256	2589
90	257	2568
91	258	2549
92	259	2532
93	260	2514
94	261	2495
95	263	2477
96	264	2460
97	265	2444
98	266	2428
99	268	2413
100	269	2398
101	270	2384
102	272	2368
103	273	2354
104	274	2340
105	276	2329
106	277	2315
107	278	2303
108	280	2290
109	281	2276
110	282	2263
111	283	2249
112	284	2236
113	286	2223
114	287	2210
115	288	2199
116	289	2187
117	291	2175
118	292	2168
119	294	2156
120	295	2144
121	296	2131
122	297	2120
123	298	2108
124	299	2097
125	300	2086
126	301	2074
127	303	2065
128	304	2057
129	306	2048
130	307	2038
131	308	2029
132	309	2018
133	310	2009
134	312	2000
135	313	1990
136	314	1981
137	315	1972
138	316	1963
139	318	1954
140	319	1949
141	320	1938
142	322	1930
143	323	1921
144	324	1912
145	325	1904
146	326	1896
147	327	1887
148	329	1879
149	330	1870
150	331	1862
151	332	1855
152	335	1854
153	336	1848
154	337	1842
155	339	1835
156	340	1828
157	341	1821
158	343	1814
159	344	1807
160	344	1797
161	346	1790
162	347	1783
163	348	1778
164	350	1771
165	351	1764
166	352	1757
167	353	1750
168	354	1743
169	355	1737
170	356	1730
171	358	1724
172	359	1718
173	360	1712
174	362	1707
175	363	1702
176	364	1695
177	366	1690
178	367	1684
179	368	1679
180	369	1673
181	371	1667
182	372	1661
183	373	1655
184	374	1649
185	376	1646
186	377	1642
187	379	1637
188	380	1631
189	381	1626
190	382	1621
191	384	1616
192	385	1612
193	387	1607
194	388	1603
195	389	1598
196	391	1594
197	392	1590
198	393	1585
199	395	1581
200	397	1580
201	399	1576
202	400	1571
203	401	1566
204	403	1564
205	406	1567
206	409	1567
207	410	1563
208	411	1558
209	413	1554
210	414	1549
211	415	1545
212	417	1541
213	418	1536
214	419	1532
215	422	1533
216	424	1531
217	425	1527
218	427	1522
219	428	1518
220	429	1513
221	430	1508
222	431	1503
223	433	1500
224	434	1497
225	436	1494
226	438	1491
227	440	1491
228	441	1487
229	443	1483
230	444	1478
231	445	1475
232	447	1472
233	448	1468
234	450	1465
235	452	1466
236	454	1462
237	455	1458
238	456	1454
239	457	1449
240	458	1445
241	460	1440
242	461	1437
243	462	1433
244	464	1430
245	465	1427
246	467	1424
247	468	1420
248	469	1416
249	470	1412
250	472	1409
251	473	1405
252	474	1401
253	475	1397
254	477	1393
255	478	1390
256	479	1386
257	480	1383
258	482	1379
259	483	1375
260	484	1371
261	485	1367
262	486	1363
263	487	1360
264	489	1356
265	490	1352
266	491	1349
267	492	1345
268	494	1342
269	495	1339
270	496	1336
271	498	1333
272	499	1329
273	500	1325
274	501	1322
275	502	1319
276	504	1316
277	505	1312
278	506	1309
279	507	1305
280	509	1302
281	510	1299
282	511	1297
283	513	1293
284	514	1290
285	516	1288
286	517	1286
287	519	1283
288	520	1279
289	521	1276
290	522	1273
291	524	1270
292	525	1267
293	526	1265
294	528	1262
295	529	1259
296	531	1257
297	532	1253
298	533	1250
299	534	1247
300	535	1244
301	537	1241
302	538	1238
303	539	1236
304	541	1233
305	542	1230
306	544	1228
307	545	1225
308	546	1221
309	547	1218
310	548	1215
311	549	1212
312	550	1208
313	552	1205
314	553	1203
315	554	1201
316	556	1198
317	557	1195
318	558	1192
319	559	1189
320	561	1186
321	562	1183
322	563	1180
323	564	1177
324	565	1174
325	566	1171
326	568	1169
327	569	1167
328	571	1164
329	572	1162
330	574	1160
331	575	1157
332	576	1154
333	577	1151
334	578	1148
335	579	1145
336	581	1143
337	582	1140
338	583	1138
339	584	1135
340	586	1133
341	587	1130
342	588	1128
343	590	1125
344	591	1122
345	592	1119
346	593	1116
347	594	1113
348	595	1110
349	596	1108
350	598	1105
351	599	1103
352	600	1101
353	602	1098
354	603	1096
355	604	1093
356	605	1091
357	606	1088
358	608	1086
359	609	1083
360	611	1081
361	612	1079
362	613	1077
363	615	1074
364	616	1073
365	618	1070
366	619	1068
367	620	1066
368	622	1063
369	623	1061
370	624	1058
371	625	1055
372	626	1053
373	628	1051
374	629	1049
375	631	1047
376	632	1044
377	633	1042
378	634	1040
379	636	1037
380	637	1035
381	638	1032
382	640	1031
383	642	1030
384	644	1029
385	645	1027
386	647	1024
387	648	1022
388	649	1019
389	650	1017
390	651	1015
391	653	1012
392	654	1010
393	656	1009
394	658	1007
395	659	1006
396	661	1004
397	662	1002
398	663	999
399	665	997
400	666	995
401	667	992
402	668	990
403	670	989
404	672	987
405	674	986
406	675	984
407	676	981
408	677	979
409	678	977
410	680	974
411	681	972
412	682	970
413	684	968
414	685	966
415	687	965
416	689	963
417	690	961
418	691	959
419	692	956
420	694	954
421	695	952
422	696	949
423	698	948
424	699	946
425	700	944
426	702	942
427	703	940
428	704	937
429	705	935
430	706	933
431	708	931
432	709	928
433	710	926
434	711	924
435	712	922
436	714	920
437	715	917
438	716	915
439	718	914
440	719	912
441	721	910
442	722	907
443	723	905
444	725	904
445	727	903
446	728	901
447	730	899
448	731	898
449	733	896
450	734	894
451	735	892
452	737	889
453	738	887
454	739	885
455	740	883
456	741	881
457	743	879
458	744	878
459	746	876
460	747	874
461	749	872
462	750	870
463	751	868
464	752	865
465	754	864
466	755	862
467	756	860
468	757	858
469	759	856
470	761	854
471	763	853
472	764	852
473	766	850
474	767	848
475	768	846
476	769	844
477	770	841
478	772	839
479	773	837
480	774	835
481	776	834
482	777	832
483	778	830
484	779	828
485	781	826
486	782	824
487	783	822
488	784	820
489	786	818
490	787	815
491	788	813
492	789	812
493	790	810
494	791	807
495	793	805
496	794	803
497	795	801
498	796	799
499	797	797
500	798	795
501	799	793
502	800	791
503	801	789
504	802	786
505	804	785
506	805	783
507	806	781
508	807	779
509	808	777
510	810	775
511	812	774
512	813	772
513	814	769
514	815	767
515	816	765
516	817	763
517	819	762
518	820	760
519	821	758
520	822	755
521	823	753
522	824	752
523	826	750
524	827	748
525	828	747
526	830	745
527	831	743
528	832	741
529	834	739
530	835	737
531	836	736
532	838	734
533	840	733
534	841	731
535	843	729
536	846	730
537	851	730
538	854	730
539	856	729
540	857	727
541	858	725
542	860	723
543	861	722
544	862	720
545	864	718
546	865	717
547	867	715
548	868	713
549	870	712
550	871	710
551	872	708
552	874	706
553	875	704
554	876	702
555	878	701
556	880	699
557	881	698
558	882	696
559	884	694
560	885	692
561	886	690
562	887	689
563	889	687
564	890	685
565	892	684
566	894	682
567	895	681
568	897	679
569	898	677
570	899	675
571	900	674
572	902	672
573	903	670
574	904	668
575	905	666
576	907	665
577	909	663
578	910	661
579	911	660
580	912	658
581	913	656
582	915	654
583	916	652
584	917	650
585	918	648
586	919	647
587	921	645
588	922	643
589	924	642
590	925	640
591	926	638
592	928	636
593	929	635
594	930	633
595	931	631
596	932	629
597	933	627
598	935	626
599	936	624
600	938	622
601	939	621
602	940	619
603	942	617
604	943	615
605	944	614
606	945	612
607	947	610
608	948	608
609	949	607
610	951	605
611	953	604
612	954	602
613	955	600
614	956	599
615	958	597
616	959	595
617	960	593
618	961	591
619	962	590
620	964	588
621	967	587
622	968	586
623	970	584
624	971	582
625	972	581
626	974	579
627	976	578
628	977	576
629	979	575
630	981	573
631	982	572
632	983	570
633	985	568
634	986	566
635	988	565
636	989	563
637	990	562
638	992	560
639	993	559
640	995	557
641	996	555
642	998	554
643	999	552
644	1000	550
645	1002	549
646	1003	547
647	1004	545
648	1006	544
649	1007	542
650	1009	540
651	1010	539
652	1011	537
653	1012	535
654	1013	534
655	1015	532
656	1016	530
657	1017	528
658	1018	527
659	1020	525
660	1021	523
661	1022	522
662	1023	520
663	1025	518
664	1026	517
665	1027	515
666	1028	513
667	1029	511
668	1030	510
669	1031	508
670	1033	506
671	1034	505
672	1036	503
673	1037	501
674	1038	500
675	1040	498
676	1042	497
677	1043	495
678	1044	493
679	1045	491
680	1046	490
681	1047	488
682	1049	486
683	1050	485
684	1052	483
685	1053	482
686	1054	480
687	1056	478
688	1057	477
689	1058	475
690	1060	474
691	1061	472
692	1063	470
693	1065	469
694	1066	468
695	1067	466
696	1069	464
697	1071	463
698	1072	461
699	1074	460
700	1076	458
701	1077	457
702	1078	455
703	1079	453
704	1080	452
705	1082	450
706	1083	449
707	1085	447
708	1087	446
709	1088	444
710	1089	443
711	1091	441
712	1092	439
713	1094	438
714	1095	436
715	1096	435
716	1098	433
717	1100	432
718	1101	430
719	1102	428
720	1104	427
721	1106	425
722	1107	424
723	1108	422
724	1109	420
725	1111	419
726	1112	417
727	1113	416
728	1115	414
729	1116	412
730	1117	411
731	1119	409
732	1120	408
733	1121	406
734	1123	404
735	1124	403
736	1126	401
737	1127	400
738	1129	398
739	1130	397
740	1132	395
741	1134	394
742	1135	392
743	1136	391
744	1138	389
745	1139	387
746	1140	386
747	1141	384
748	1143	383
749	1144	381
750	1146	380
751	1147	378
752	1149	376
753	1150	375
754	1151	373
755	1153	372
756	1154	370
757	1155	369
758	1158	367
759	1162	367
760	1164	365
761	1166	364
762	1167	362
763	1169	361
764	1172	360
765	1174	358
766	1176	357
767	1177	355
768	1178	354
769	1180	352
770	1181	350
771	1182	349
772	1184	347
773	1185	346
774	1190	345
775	1192	344
776	1194	342
777	1195	341
778	1196	339
779	1198	337
780	1199	336
781	1201	334
782	1202	333
783	1204	331
784	1206	330
785	1207	328
786	1209	327
787	1210	325
788	1212	324
789	1213	322
790	1215	321
791	1216	319
792	1218	318
793	1219	316
794	1221	314
795	1222	313
796	1223	311
797	1224	310
798	1225	308
799	1227	306
800	1228	305
801	1230	303
802	1231	302
803	1233	300
804	1234	299
805	1235	297
806	1237	295
807	1238	294
808	1240	292
809	1241	291
810	1244	289
811	1245	288
812	1247	286
813	1248	285
814	1249	283
815	1250	282
816	1251	280
817	1253	278
818	1254	277
819	1255	275
820	1256	274
821	1258	272
822	1259	270
823	1261	269
824	1262	267
825	1263	266
826	1264	264
827	1265	262
828	1266	261
829	1267	259
